TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-05-06 22:07:03,1778105223650,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app/api/guardian-ai,POST,,200,rcshz-1778105222421-e837afd6bec0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,preview,deploy/v2.0-stable,MISS,function,/api/guardian-ai,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app,dpl_9Rg9p7VUK8bW1mR16vsYNCuz4nQe,,,,,"[Guardian AI] Error: Error: Configuration file not found or invalid. Please create .z-ai-config in your project, home directory, or /etc.
    at R (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:805)
    at async A.create (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:1522)
    at async k (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:1963)
    at async c (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:6012)
    at async l (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:7053)
    at async Module.L (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:8131)",prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,,,,,
2026-05-06 22:07:02,1778105222421,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app/api/guardian-ai,POST,,200,rcshz-1778105222421-e837afd6bec0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,preview,deploy/v2.0-stable,MISS,function,/api/guardian-ai,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app,dpl_9Rg9p7VUK8bW1mR16vsYNCuz4nQe,525,iad1,247,2048,,prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,01KQZN91NSQ56MHR56G4NWK9DY,TjIw4yD5u9q0,1,,
2026-05-06 22:06:58,1778105218429,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app/manifest.webmanifest,GET,,200,qd2n6-1778105218429-0e7510dcd402,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,preview,deploy/v2.0-stable,PRERENDER,static,/manifest.webmanifest,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app,byldrs-guardian-website-4cd0nijma-topon.vercel.app,dpl_9Rg9p7VUK8bW1mR16vsYNCuz4nQe,592,bom1,,,,prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,,,,,
2026-05-06 22:06:57,1778105217810,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app/,GET,,200,wpr6s-1778105217810-602eae5aab71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,preview,deploy/v2.0-stable,PRERENDER,static,/,byldrs-guardian-website-git-deploy-v20-stable-topon.vercel.app,byldrs-guardian-website-4cd0nijma-topon.vercel.app,dpl_9Rg9p7VUK8bW1mR16vsYNCuz4nQe,515,bom1,,,,prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,,,,,
2026-05-06 22:06:19,1778105179420,byldrs-guardian-website.vercel.app/api/guardian-ai,POST,,200,hj2xg-1778105179249-6e813a1157b1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/guardian-ai,byldrs-guardian-website.vercel.app,byldrs-guardian-website.vercel.app,dpl_FxopYNczxEKENuTwF3wgyUJ26xCw,,,,,"[Guardian AI] Error: Error: Configuration file not found or invalid. Please create .z-ai-config in your project, home directory, or /etc.
    at R (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:867)
    at async A.create (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:1584)
    at async k (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:1963)
    at async c (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:6012)
    at async l (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:7053)
    at async Module.L (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:8131)",prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,,,,,
2026-05-06 22:06:19,1778105179249,byldrs-guardian-website.vercel.app/api/guardian-ai,POST,,200,hj2xg-1778105179249-6e813a1157b1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,main,MISS,function,/api/guardian-ai,byldrs-guardian-website.vercel.app,byldrs-guardian-website.vercel.app,dpl_FxopYNczxEKENuTwF3wgyUJ26xCw,18,iad1,255,2048,,prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,01KQZN7Q76W4R9FE4ZGAV7JVSB,NI4z1eApDWJd,1,,
2026-05-06 22:06:16,1778105176976,byldrs-guardian-website.vercel.app/api/guardian-ai,POST,,200,cgvpg-1778105176840-52b6ce31ac7a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/guardian-ai,byldrs-guardian-website.vercel.app,byldrs-guardian-website.vercel.app,dpl_FxopYNczxEKENuTwF3wgyUJ26xCw,,,,,"[Guardian AI] Error: Error: Configuration file not found or invalid. Please create .z-ai-config in your project, home directory, or /etc.
    at R (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:867)
    at async A.create (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:1584)
    at async k (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:1963)
    at async c (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:6012)
    at async l (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:7053)
    at async Module.L (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:8131)",prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,,,,,
2026-05-06 22:06:16,1778105176840,byldrs-guardian-website.vercel.app/api/guardian-ai,POST,,200,cgvpg-1778105176840-52b6ce31ac7a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,main,MISS,function,/api/guardian-ai,byldrs-guardian-website.vercel.app,byldrs-guardian-website.vercel.app,dpl_FxopYNczxEKENuTwF3wgyUJ26xCw,13,iad1,255,2048,,prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,01KQZN7MVX40A70VC22YDKP7VZ,NI4z1eApDWJd,1,,
2026-05-06 22:06:13,1778105173226,byldrs-guardian-website.vercel.app/api/guardian-ai,DELETE,,200,vhqs7-1778105173226-8bb03bdd5f0c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,main,MISS,function,/api/guardian-ai,byldrs-guardian-website.vercel.app,byldrs-guardian-website-2hyzzhplp-topon.vercel.app,dpl_FxopYNczxEKENuTwF3wgyUJ26xCw,16,iad1,253,2048,,prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,01KQZN7HBH3KN8WD3APA3DRJJW,NI4z1eApDWJd,1,,
2026-05-06 22:06:05,1778105165336,byldrs-guardian-website.vercel.app/api/guardian-ai,POST,,200,cgvpg-1778105165201-54a85725c89c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/guardian-ai,byldrs-guardian-website.vercel.app,byldrs-guardian-website-2hyzzhplp-topon.vercel.app,dpl_FxopYNczxEKENuTwF3wgyUJ26xCw,,,,,"[Guardian AI] Error: Error: Configuration file not found or invalid. Please create .z-ai-config in your project, home directory, or /etc.
    at R (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:867)
    at async A.create (.next/server/chunks/[root-of-the-server]__81954c2b._.js:1:1584)
    at async k (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:1963)
    at async c (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:6012)
    at async l (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:7053)
    at async Module.L (.next/server/chunks/[root-of-the-server]__81954c2b._.js:105:8131)",prj_4iNDBJO6QtFYAPMTNovTwnfTjkYN,,,,,,,
